,Model,Params,Train_F1_mean,Train_F1_std,Val_F1_mean,Val_F1_std,Gap_Train-Val
3,Random Forest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50, 'class_weight': 'balanced'}",0.9901,0.0002,0.9323,0.0011,0.0577
10,GroupAware Random Forest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50, 'class_weight': 'balanced'}",0.9892,0.0002,0.9311,0.0008,0.0581
2,Random Forest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100, 'class_weight': 'balanced'}",0.9576,0.0008,0.9234,0.0016,0.0341
1,Random Forest,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50, 'class_weight': 'balanced'}",0.9524,0.0007,0.9216,0.0016,0.0307
9,GroupAware Random Forest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100, 'class_weight': 'balanced'}",0.9512,0.0008,0.9205,0.0012,0.0307
8,GroupAware Random Forest,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50, 'class_weight': 'balanced'}",0.9483,0.0009,0.9191,0.0015,0.0291
4,Decision Tree,"{'max_depth': 50, 'min_samples_split': 5, 'class_weight': 'balanced'}",0.981,0.0002,0.9141,0.0018,0.0669
5,Decision Tree,"{'max_depth': None, 'min_samples_split': 10, 'class_weight': 'balanced'}",0.9601,0.0003,0.9046,0.0018,0.0555
6,Decision Tree,"{'max_depth': 20, 'min_samples_split': 5, 'class_weight': 'balanced'}",0.9226,0.0024,0.8877,0.0024,0.0349
0,Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50, 'class_weight': 'balanced'}",0.8666,0.001,0.8608,0.0023,0.0059
7,GroupAware Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50, 'class_weight': 'balanced'}",0.8564,0.0023,0.8514,0.0024,0.005
