,Model,Params,Train_F1_mean,Train_F1_std,Val_F1_mean,Val_F1_std,Gap_Train-Val
3,Random Forest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50, 'class_weight': 'balanced'}",0.9901,0.0002,0.9324,0.0011,0.0577
10,GroupAware Random Forest,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50, 'class_weight': 'balanced'}",0.9892,0.0003,0.9316,0.0008,0.0576
2,Random Forest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100, 'class_weight': 'balanced'}",0.9595,0.0006,0.9239,0.001,0.0356
9,GroupAware Random Forest,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100, 'class_weight': 'balanced'}",0.9542,0.0008,0.9215,0.0015,0.0327
1,Random Forest,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50, 'class_weight': 'balanced'}",0.9532,0.001,0.9211,0.0011,0.0321
8,GroupAware Random Forest,"{'max_depth': 20, 'min_samples_split': 10, 'n_estimators': 50, 'class_weight': 'balanced'}",0.951,0.0006,0.9202,0.0012,0.0307
4,Decision Tree,"{'max_depth': 50, 'min_samples_split': 5, 'class_weight': 'balanced'}",0.981,0.0003,0.9139,0.0015,0.0671
5,Decision Tree,"{'max_depth': None, 'min_samples_split': 10, 'class_weight': 'balanced'}",0.9599,0.0004,0.9042,0.0014,0.0557
6,Decision Tree,"{'max_depth': 20, 'min_samples_split': 5, 'class_weight': 'balanced'}",0.9224,0.0015,0.8872,0.0017,0.0352
0,Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50, 'class_weight': 'balanced'}",0.8654,0.001,0.8595,0.0015,0.0059
7,GroupAware Random Forest,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50, 'class_weight': 'balanced'}",0.8553,0.0028,0.8496,0.0033,0.0057
12,Logistic Regression,"{'penalty': 'l2', 'C': 1.0, 'solver': 'saga', 'class_weight': 'balanced', 'max_iter': 1000, 'n_jobs': -1}",0.8309,0.0005,0.8309,0.0019,0.0
15,Logistic Regression,"{'penalty': 'l2', 'C': 1.0, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.8309,0.0005,0.8309,0.0019,-0.0
16,Logistic Regression,"{'penalty': 'l2', 'C': 10.0, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.8309,0.0005,0.8309,0.0019,0.0001
13,Logistic Regression,"{'penalty': 'l1', 'C': 1.0, 'solver': 'saga', 'class_weight': 'balanced', 'max_iter': 1000, 'n_jobs': -1}",0.8309,0.0005,0.8308,0.0019,0.0001
11,Logistic Regression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'saga', 'class_weight': 'balanced', 'max_iter': 1000, 'n_jobs': -1}",0.8309,0.0005,0.8307,0.0018,0.0001
14,Logistic Regression,"{'penalty': 'l2', 'C': 0.1, 'solver': 'lbfgs', 'class_weight': 'balanced'}",0.8308,0.0005,0.8306,0.0017,0.0001
