id,root
1,38
2,17
3,15
4,11
5,6
6,13
7,2
8,12
9,9
10,12
11,19
12,14
13,5
14,6
15,10
16,5
17,10
18,12
19,3
20,11
21,4
22,5
23,5
24,38
25,35
26,16
27,1
28,19
29,6
30,4
31,17
32,1
33,8
34,7
35,10
36,24
37,19
38,12
39,9
40,24
41,8
42,28
43,12
44,14
45,8
46,10
47,14
48,18
49,8
50,24
51,7
52,1
53,34
54,44
55,8
56,21
57,27
58,3
59,7
60,5
61,11
62,43
63,7
64,12
65,10
66,2
67,1
68,16
69,8
70,26
71,15
72,2
73,7
74,3
75,5
76,11
77,9
78,19
79,10
80,3
81,23
82,4
83,9
84,21
85,10
86,7
87,7
88,8
89,30
90,21
91,20
92,2
93,21
94,26
95,7
96,9
97,2
98,4
99,16
100,5
101,9
102,6
103,10
104,23
105,11
106,1
107,21
108,3
109,28
110,9
111,2
112,13
113,5
114,11
115,23
116,13
117,5
118,22
119,17
120,21
121,11
122,22
123,12
124,12
125,14
126,23
127,2
128,2
129,36
130,4
131,18
132,7
133,15
134,17
135,6
136,15
137,3
138,28
139,13
140,16
141,3
142,20
143,2
144,21
145,7
146,14
147,7
148,13
149,8
150,2
151,12
152,1
153,2
154,30
155,8
156,7
157,2
158,11
159,7
160,14
161,6
162,8
163,7
164,3
165,13
166,14
167,27
168,19
169,23
170,20
171,18
172,2
173,15
174,18
175,14
176,16
177,7
178,8
179,5
180,17
181,7
182,23
183,17
184,7
185,29
186,20
187,15
188,7
189,4
190,13
191,3
192,13
193,19
194,25
195,9
196,13
197,28
198,17
199,2
200,28
201,2
202,14
203,3
204,14
205,16
206,50
207,4
208,7
209,12
210,5
211,1
212,15
213,14
214,23
215,4
216,10
217,12
218,5
219,18
220,14
221,18
222,38
223,15
224,2
225,20
226,10
227,10
228,18
229,13
230,8
231,14
232,28
233,7
234,12
235,12
236,11
237,3
238,4
239,10
240,18
241,8
242,4
243,13
244,5
245,7
246,3
247,12
248,18
249,22
250,33
251,25
252,22
253,6
254,20
255,12
256,22
257,21
258,10
259,20
260,16
261,3
262,42
263,10
264,2
265,16
266,24
267,30
268,5
269,17
270,12
271,6
272,21
273,25
274,18
275,46
276,28
277,32
278,14
279,4
280,11
281,13
282,8
283,30
284,6
285,14
286,5
287,27
288,1
289,27
290,4
291,12
292,5
293,23
294,17
295,16
296,24
297,5
298,18
