language,sentence,n,edgelist,root
Japanese,2,23,"[(6, 4), (2, 6), (2, 23), (20, 2), (15, 20), (3, 5), (14, 3), (8, 14), (12, 8), (15, 12), (9, 15), (18, 9), (13, 18), (19, 13), (21, 19), (19, 1), (1, 22), (10, 21), (16, 7), (17, 16), (10, 17), (10, 11)]",10
Japanese,5,18,"[(8, 9), (14, 8), (4, 14), (5, 4), (1, 2), (6, 1), (17, 12), (6, 17), (6, 3), (7, 6), (11, 7), (7, 16), (16, 18), (15, 11), (5, 15), (10, 5), (10, 13)]",10
Japanese,8,33,"[(2, 10), (2, 14), (4, 2), (16, 4), (6, 16), (12, 32), (26, 12), (3, 26), (29, 27), (22, 29), (15, 22), (24, 18), (13, 24), (15, 13), (6, 15), (11, 5), (11, 23), (11, 21), (19, 11), (19, 20), (19, 33), (19, 8), (9, 19), (7, 9), (1, 28), (25, 1), (30, 25), (7, 30), (7, 17), (31, 7), (6, 31), (3, 6)]",3
Japanese,11,30,"[(30, 1), (14, 24), (21, 14), (3, 21), (7, 3), (12, 7), (7, 27), (27, 16), (8, 5), (26, 8), (6, 26), (12, 6), (25, 12), (22, 25), (25, 18), (18, 15), (15, 28), (22, 29), (19, 22), (23, 19), (13, 23), (10, 13), (11, 2), (30, 11), (17, 20), (9, 17), (4, 9), (10, 4), (30, 10)]",30
Japanese,12,19,"[(19, 13), (16, 19), (2, 16), (4, 10), (4, 15), (4, 5), (14, 4), (12, 14), (3, 12), (2, 3), (1, 8), (1, 18), (1, 7), (17, 1), (6, 17), (2, 6), (11, 2), (11, 9)]",11
Japanese,14,29,"[(23, 29), (18, 23), (28, 18), (28, 12), (28, 1), (28, 21), (28, 11), (2, 28), (6, 2), (19, 13), (4, 19), (14, 5), (9, 14), (20, 9), (22, 20), (4, 22), (3, 4), (17, 3), (3, 26), (8, 27), (7, 8), (16, 15), (10, 16), (7, 10), (17, 7), (24, 17), (25, 24), (6, 25)]",6
Japanese,16,19,"[(19, 7), (14, 19), (16, 8), (15, 16), (13, 15), (12, 3), (1, 12), (2, 1), (4, 9), (17, 4), (13, 17), (11, 13), (5, 11), (2, 5), (10, 2), (6, 18), (10, 6), (14, 10)]",14
Japanese,21,19,"[(9, 10), (14, 9), (18, 14), (7, 8), (16, 7), (2, 16), (17, 2), (3, 17), (3, 4), (15, 3), (15, 11), (12, 15), (5, 12), (6, 5), (13, 1), (6, 13), (19, 6), (18, 19)]",18
Japanese,25,19,"[(11, 6), (18, 11), (13, 5), (18, 13), (10, 8), (18, 10), (4, 18), (7, 4), (7, 9), (9, 15), (3, 12), (2, 3), (17, 2), (1, 17), (16, 1), (7, 16), (7, 19), (19, 14)]",7
Japanese,26,23,"[(8, 23), (17, 8), (7, 17), (6, 5), (19, 6), (21, 19), (13, 21), (18, 13), (9, 18), (14, 9), (7, 14), (16, 20), (10, 16), (4, 11), (10, 4), (10, 1), (2, 10), (7, 2), (22, 15), (7, 22), (3, 7), (3, 12)]",3
